_id,_sampledSeconds,_traveltime,_overlapTraveltime,_density,_laneDensity,_occupancy,_waitingTime,_timeLoss,_speed,_departed,_arrived,_entered,_left,_laneChangedFrom,_laneChangedTo,_vaporized
-161566739,41.26,4.78,5.30,0.21,0.21,0.10,0.00,27.64,4.33,10,0,0,10,0,0,
-161566740,21.49,1.12,2.45,0.49,0.49,0.13,2.00,9.98,3.67,5,0,6,11,0,0,
-161566741#0,8.01,0.88,1.40,0.10,0.10,0.03,0.00,2.88,9.00,0,6,6,0,0,0,
-161566741#1,6.45,3.87,4.83,0.06,0.06,0.02,0.00,4.33,3.17,2,0,0,2,0,0,
-161591552,35.52,0.58,1.97,2.69,2.69,0.28,2.00,19.45,3.15,10,0,10,20,0,0,
-161591556#0,6.28,0.63,1.31,0.14,0.14,0.03,0.00,0.88,7.00,0,5,5,0,0,0,
-161591556#1,13.77,,4.31,0.44,0.44,0.11,4.00,9.99,1.82,5,0,0,5,0,0,
-161591560,28.50,10.03,10.94,0.08,0.08,0.04,4.00,15.79,3.55,3,0,0,3,0,0,
-167067038,692.24,1.75,2.56,3.77,1.88,0.72,0.00,192.70,8.47,7,7,265,265,7,7,
-176934263,25.99,4.03,4.43,0.06,0.06,0.02,0.00,5.27,10.81,0,6,6,0,0,0,
-179316533#0,884.62,2.83,3.40,2.35,2.35,1.01,3.00,109.91,11.56,4,3,257,258,0,0,
-179316533#1,876.67,2.69,3.12,2.58,2.58,1.10,0.00,136.48,11.52,4,6,278,276,0,0,
-186071742#0,11.39,2.37,3.02,0.06,0.06,0.02,0.00,1.28,7.25,0,4,4,0,0,0,
-186071742#1,11.98,4.02,4.54,0.11,0.11,0.05,0.00,6.96,3.31,4,0,0,4,0,0,
-186533894#0,135.77,12.13,12.59,0.09,0.09,0.04,0.00,22.40,11.38,4,5,7,6,0,0,
-186533894#1,103.89,7.56,8.11,0.12,0.12,0.06,0.00,25.15,10.23,2,6,11,7,0,0,
-186533899,48.26,7.06,7.92,0.13,0.13,0.06,0.00,28.06,5.00,7,0,0,7,0,0,
-186533901#1,52.49,8.92,9.65,0.10,0.10,0.05,0.00,16.05,5.67,6,0,0,6,0,0,
-186533906,10.46,4.79,5.42,0.02,0.02,0.01,0.00,0.00,8.00,0,2,2,0,0,0,
-186543382,81.09,11.63,12.61,0.13,0.13,0.06,11.00,34.44,4.99,7,0,0,7,0,0,
-186543391,39.51,9.66,10.59,0.05,0.05,0.02,0.00,14.62,7.15,4,0,0,4,0,0,
-186543837,69.42,4.69,5.45,0.18,0.18,0.08,0.00,27.79,7.24,2,0,11,13,0,0,
-186543838#0,7.58,1.06,1.67,0.09,0.09,0.03,0.00,3.43,7.56,0,5,5,0,0,0,
-186543838#1,8.58,3.35,3.77,0.11,0.11,0.04,0.00,4.75,3.13,4,0,0,4,0,0,
-188000581#1,170.57,14.63,15.78,0.15,0.15,0.07,3.00,31.52,6.69,4,0,7,11,0,0,
-188153281,55.14,9.06,9.97,0.08,0.08,0.04,0.00,24.29,6.49,6,0,0,6,0,0,
-188153293,26.41,8.66,9.60,0.04,0.04,0.02,0.00,11.38,6.39,3,0,0,3,0,0,
-188153325#0,57.24,13.78,14.40,0.05,0.05,0.02,0.00,2.50,7.93,0,4,4,0,0,0,
-188153325#10,4573.71,17.70,18.38,3.01,3.01,1.45,0.00,231.38,7.79,3,5,246,244,0,0,
-188153325#2,610.81,13.57,14.25,0.53,0.53,0.25,0.00,48.83,7.69,2,4,41,39,0,0,
